movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Shortbus,4/10/2006,"Comedy,Drama,Romance",101,John Cameron Mitchell,"actor,soundtrack,writer",1963,alive,6.4,34130,4.783191066,2000000,1997497,1997497
"The Book of Mormon Movie, Volume 1: The Journey",12/9/2003,Adventure,120,Gary Rogers,"director,writer,producer",\N,alive,3,514,1.245987676,2000000,1660865,1660865
Hamlet,12/5/2000,"Drama,Romance,Thriller",112,Michael Almereyda,"director,writer,producer",1959,alive,5.9,9708,3.853451827,2000000,1577287,2419669
The Diary of a Teenage Girl,7/8/2015,"Comedy,Drama,Romance",102,Marielle Heller,"actress,director,writer",1979,alive,6.8,32353,5.063628196,2000000,1477002,2279959
In the Shadow of the Moon,7/9/2007,"Documentary,History",100,David Sington,"producer,director,script_department",\N,alive,8,6800,5.062383402,2000000,1134358,2175587
The Babadook,23-05-2014,"Horror,Mystery",94,Jennifer Kent,"actress,director,writer",1969,alive,6.8,229122,6.043010262,2000000,950792,7482387
Inside Deep Throat,11/2/2005,"Biography,Documentary,History",89,-,-,-,-,6.7,6893,4.22502008,2000000,691880,691880
The Virginity Hit,24-09-2010,"Comedy,Drama",86,-,-,-,-,4.5,3937,2.60897478,2000000,636706,636706
Monos,23-08-2019,"Adventure,Drama,Thriller",102,Alejandro Landes,"writer,producer,director",1980,alive,6.9,17709,4.834093994,2000000,406473,2013217
Subway,6/11/1985,Thriller,104,Luc Besson,"writer,producer,director",1959,alive,6.5,15521,4.483144821,2000000,390659,1663296
Sherrybaby,8/9/2006,Drama,96,Laurie Collyer,"director,writer,assistant_director",1967,alive,6.6,11881,4.424367301,2000000,199176,759504
Six-String Samurai,18-09-1998,"Action,Adventure,Comedy",91,Lance Mungia,"director,writer,producer",1972,alive,6.4,7616,4.076905228,2000000,134624,134624
Pump,19-09-2014,Documentary,88,-,-,-,-,7.6,649,3.489043626,2000000,89787,89787
Roadside Romeo,24-10-2008,"Adventure,Animation,Comedy",93,Jugal Hansraj,"actor,director,writer",1972,alive,4.9,1548,2.516074378,2000000,55202,2046090
Knock Knock,26-06-2015,"Crime,Drama,Horror",99,Eli Roth,"producer,actor,writer",1972,alive,4.9,96835,4.007192855,2000000,36336,6328516
The Missing Person,20-11-2009,Drama,95,Noah Buschel,"writer,director",1978,alive,6.1,1631,3.187981525,2000000,17896,17896
